sale_id;data_venda;ano;mes;loja;bairro_entrega;canal;tipo_cliente;categoria;produto;unidade;quantidade;custo_unitario;preco_venda_unitario;promocao;perda_quebra_custo;receita_total;custo_total;lucro_total;margem_lucro;fornecedor;forma_pagamento
HF202500029;2025-03-31;2025;3;Hortfruit Tatuapé;Santo Amaro;Delivery app;Restaurante;Fruta;Goiaba;kg;8,51;6.5;8.0;1;0,0;68,08;55,31;12,77;0,1876;CEAGESP (atacado);Vale-alimentação
HF202500030;2025-05-21;2025;5;Hortfruit Vila Mariana;Santo Amaro;WhatsApp;Padaria;Verdura;Couve manteiga;maço;1,0;2.5;3.5;0;0,0;3,5;2,5;1,0;0,2857;Produtor local;Dinheiro
HF202500031;2025-11-13;2025;11;Hortfruit Vila Mariana;Bela Vista;Delivery app;Restaurante;Fruta;Mamão papaya;kg;7,25;5.5;9.99;0;0,0;72,43;39,88;32,55;0,4494;Produtor local;Vale-alimentação
HF202500032;2025-11-24;2025;11;Hortfruit Vila Mariana;Butantã;WhatsApp;Mercado;Verdura;Couve manteiga;maço;5,0;2.0;3.5;0;0,0;17,5;10,0;7,5;0,4286;CEAGESP (atacado);Pix
HF202500033;2025-03-17;2025;3;Hortfruit Santo Amaro;Ipiranga;Delivery app;Mercado;Verdura;Agrião;maço;27,0;2.99;5.0;0;0,0;135,0;80,73;54,27;0,402;CEAGESP (atacado);Pix
HF202500034;2025-01-24;2025;1;Hortfruit Santo Amaro;Lapa;Delivery app;Lanchonete;Legume;Tomate cereja;bandeja;17,0;5.5;9.0;1;0,0;153,0;93,5;59,5;0,3889;Distribuidor regional;Vale-alimentação
HF202500035;2025-02-01;2025;2;Hortfruit Pinheiros;Tatuapé;WhatsApp;Mercado;Fruta;Abacate;kg;14,33;7.99;10.5;0;0,0;150,47;114,5;35,97;0,2391;Importadora;Crédito
HF202500036;2025-09-03;2025;9;Hortfruit Tatuapé;Bela Vista;Loja física;Padaria;Legume;Tomate cereja;bandeja;2,0;5.5;8.99;0;0,0;17,98;11,0;6,98;0,3882;CEAGESP (atacado);Dinheiro
HF202500037;2025-03-11;2025;3;Hortfruit Tatuapé;Brooklin;WhatsApp;Lanchonete;Fruta;Maçã fuji;kg;18,19;6.99;10.0;0;0,0;181,9;127,15;54,75;0,301;Importadora;Pix
HF202500038;2025-12-13;2025;12;Hortfruit Santana;Moema;Feira (parceiro);Cozinha industrial;Fruta;Abacate;kg;19,72;6.99;10.5;0;0,0;207,06;137,84;69,22;0,3343;Distribuidor regional;Débito
HF202500039;2025-11-25;2025;11;Hortfruit Tatuapé;Santana;Loja física;Lanchonete;Fruta;Tangerina ponkan;kg;4,98;4.99;7.5;0;0,0;37,35;24,85;12,5;0,3347;Produtor local;Vale-alimentação
HF202500040;2025-06-07;2025;6;Hortfruit Moema;Santana;WhatsApp;Restaurante;Legume;Abóbora cabotiá;kg;12,78;2.99;4.99;0;0,0;63,77;38,21;25,56;0,4008;Distribuidor regional;Dinheiro
HF202500041;2025-02-07;2025;2;Hortfruit Tatuapé;Moema;Feira (parceiro);Cozinha industrial;Fruta;Abacate;kg;6,62;4.5;7.5;0;0,0;49,65;29,79;19,86;0,4;Distribuidor regional;Débito
HF202500042;2025-01-24;2025;1;Hortfruit Vila Mariana;Butantã;Delivery app;Lanchonete;Fruta;Banana nanica;kg;13,65;4.0;6.5;0;0,0;88,73;54,6;34,13;0,3847;Cooperativa;Vale-alimentação
HF202500043;2025-04-04;2025;4;Hortfruit Santo Amaro;Brooklin;Loja física;Lanchonete;Legume;Abobrinha;kg;13,01;4.99;6.99;0;0,0;90,94;64,92;26,02;0,2861;Importadora;Débito
HF202500044;2025-06-28;2025;6;Hortfruit Santana;Vila Mariana;WhatsApp;PF;Verdura;Couve manteiga;maço;18,0;2.99;4.99;0;0,0;89,82;53,82;36,0;0,4008;Cooperativa;Crédito
HF202500045;2025-02-11;2025;2;Hortfruit Vila Mariana;Brooklin;Delivery app;Cozinha industrial;Verdura;Cheiro-verde;maço;18,0;2.5;3.5;0;0,0;63,0;45,0;18,0;0,2857;CEAGESP (atacado);Pix
HF202500046;2025-12-23;2025;12;Hortfruit Santo Amaro;Butantã;WhatsApp;Padaria;Legume;Batata doce;kg;13,3;4.99;6.5;1;0,0;86,45;66,37;20,08;0,2323;Produtor local;Crédito
HF202500047;2025-02-13;2025;2;Hortfruit Santo Amaro;Tatuapé;Feira (parceiro);Cozinha industrial;Legume;Pimentão vermelho;kg;2,13;9.5;14.0;0;0,0;29,82;20,23;9,59;0,3216;Produtor local;Débito
HF202500048;2025-01-08;2025;1;Hortfruit Santana;Tatuapé;Retirada;Cozinha industrial;Legume;Cebola;kg;6,98;4.0;7.0;0;0,0;48,86;27,92;20,94;0,4286;Produtor local;Vale-alimentação
HF202500049;2025-06-17;2025;6;Hortfruit Santana;Moema;Delivery app;Cozinha industrial;Legume;Batata inglesa;kg;17,78;4.99;5.5;1;0,0;97,79;88,72;9,07;0,0927;CEAGESP (atacado);Vale-alimentação
HF202500050;2025-12-09;2025;12;Hortfruit Pinheiros;Brooklin;Feira (parceiro);PF;Legume;Cebola;kg;18,0;2.5;4.5;0;0,0;81,0;45,0;36,0;0,4444;Distribuidor regional;Crédito
HF202500051;2025-03-17;2025;3;Hortfruit Santana;Vila Mariana;WhatsApp;Lanchonete;Legume;Tomate italiano;kg;-13,37;4.99;7.99;0;0,0;106,83;66,72;40,11;0,3755;Importadora;Dinheiro
HF202500052;2025-06-17;2025;6;Hortfruit Moema;Pinheiros;Retirada;Cozinha industrial;Fruta;Maçã fuji;kg;13,93;7.99;12.0;0;0,0;167,16;111,3;55,86;0,3342;Cooperativa;Pix
HF202500053;2025-03-01;2025;3;Hortfruit Vila Mariana;Lapa;Delivery app;Mercado;Verdura;Repolho;kg;4,97;3.0;5.0;0;3,73;24,85;14,91;6,21;0,2499;CEAGESP (atacado);Pix
HF202500054;2025-03-04;2025;3;Hortfruit Moema;Tatuapé;Loja física;Cozinha industrial;Fruta;Melão amarelo;kg;17,03;5.5;6.5;0;0,0;110,7;93,67;17,03;0,1538;Importadora;Débito
HF202500055;2025-01-21;2025;1;Hortfruit Pinheiros;Pinheiros;Delivery app;Cozinha industrial;Fruta;Morango;bandeja;19,0;6.99;11.5;0;33,2;218,5;132,81;52,49;0,2402;Distribuidor regional;Pix
HF202500056;2025-02-01;2025;2;Hortfruit Vila Mariana;Tatuapé;Feira (parceiro);PF;Verdura;Espinafre;maço;6,0;3.99;5.5;0;0,0;33,0;23,94;9,06;0,2745;Distribuidor regional;Pix
HF202500057;2025-06-01;2025;6;Hortfruit Moema;Bela Vista;Feira (parceiro);Mercado;Fruta;Maçã fuji;kg;15,96;9.0;12.5;0;0,0;199,5;143,64;55,86;0,28;Produtor local;Débito
HF202500058;2025-06-30;2025;6;Hortfruit Santana;Vila Mariana;Loja física;Lanchonete;verdura;Cheiro-verde;maço;5,0;1.99;2.99;0;0,0;14,95;9,95;5,0;0,3344;CEAGESP (atacado);Débito
HF202500059;2025-04-05;2025;4;Hortfruit Pinheiros;Santana;Loja física;Mercado;Fruta;Laranja pera;kg;15,44;4.5;6.5;0;0,0;100,36;69,48;30,88;0,3077;Cooperativa;Débito
HF202500060;2025-02-28;2025;2;Hortfruit Vila Mariana;Lapa;Feira (parceiro);Lanchonete;Legume;Pepino japonês;kg;5,81;4.99;7.5;1;0,0;43,57;28,99;14,58;0,3346;CEAGESP (atacado);Pix
HF202500061;2025-05-22;2025;5;Hortfruit Santana;Lapa;Feira (parceiro);Lanchonete;Fruta;Limão taiti;kg;11,19;5.5;6.5;0;0,0;72,73;61,54;11,19;0,1539;CEAGESP (atacado);Dinheiro
HF202500062;2025-03-28;2025;3;Hortfruit Vila Mariana;Ipiranga;WhatsApp;Padaria;Legume;Batata doce;kg;6,32;3.99;5.5;0;0,0;26,03;25,22;6,29;0,2996;CEAGESP (atacado);Dinheiro
HF202500063;2025-02-17;2025;2;Hortfruit Santana;Bela Vista;Loja física;Restaurante;Fruta;Banana nanica;kg;7,64;4.99;8.99;0;0,0;68,68;38,12;30,56;0,445;Importadora;Crédito
HF202500064;2025-10-23;2025;10;Hortfruit Tatuapé;Tatuapé;Feira (parceiro);Restaurante;Verdura;Agrião;maço;14,0;2.99;5.0;0;0,0;70,0;41,86;28,14;0,402;Cooperativa;Crédito
HF202500065;2025-08-14;2025;8;Hortfruit Santana;Santana;Retirada;Mercado;Fruta;Goiaba;kg;3,06;8.99;14.0;0;0,0;42,84;27,51;15,33;0,3578;Importadora;Pix
HF202500066;2025-08-23;2025;8;Hortfruit Tatuapé;Santana;WhatsApp;Padaria;Fruta;Uva vitória;kg;14,03;12.99;17.5;0;0,0;245,52;182,25;63,27;0,2577;Importadora;Pix
HF202500067;2025-12-05;2025;12;Hortfruit Santo Amaro;Ipiranga;Delivery app;Mercado;legume;Berinjela;kg;16,24;6.0;11.99;0;0,0;194,72;97,44;97,28;0,4996;CEAGESP (atacado);Crédito
HF202500068;2025-03-12;2025;3;Hortfruit Pinheiros;Tatuapé;Delivery app;Cozinha industrial;Fruta;Melão amarelo;kg;10,37;5.99;10.0;0;0,0;103,7;62,12;41,58;0,401;CEAGESP (atacado);Pix
HF202500069;2025-05-25;2025;5;Hortfruit Santana;Santo Amaro;WhatsApp;Mercado;Verdura;Salsinha;maço;14,0;2.0;2.99;0;0,0;41,86;28,0;13,86;0,3311;Importadora;Vale-alimentação
HF202500070;2025-11-19;2025;11;Hortfruit Tatuapé;Vila Mariana;Loja física;Cozinha industrial;Fruta;Mamão formosa;kg;7,7;5.99;7.99;0;0,0;61,52;46,12;15,4;0,2503;Cooperativa;Crédito
HF202500071;2025-12-27;2025;12;Hortfruit Pinheiros;Lapa;Delivery app;Restaurante;Legume;Batata doce;kg;9,47;3.99;6.5;0;0,0;61,56;37,79;23,77;0,3861;Cooperativa;Pix
HF202500072;2025-12-11;2025;12;Hortfruit Moema;Vila Mariana;Loja física;Mercado;Fruta;Banana nanica;kg;0,9;4.99;5.5;1;0,0;4,95;4,49;0,46;0,0929;CEAGESP (atacado);Pix
HF202500073;2025-04-04;2025;4;Hortfruit Santo Amaro;Vila Mariana;Feira (parceiro);Restaurante;Fruta;Melão amarelo;kg;10,59;4.5;6.5;0;0,0;68,83;47,66;21,17;0,3076;Distribuidor regional;Débito
HF202500074;2025-03-15;2025;3;Hortfruit Santo Amaro;Tatuapé;Delivery app;Restaurante;Fruta;Abacaxi;un;4,0;4.0;6.5;0;0,0;26,0;16,0;10,0;0,3846;Distribuidor regional;Vale-alimentação
HF202500075;2025-07-10;2025;7;Hortfruit Vila Mariana;Brooklin;Loja física;PF;Fruta;Abacaxi;un;35,0;5.5;10.0;0;0,0;350,0;192,5;157,5;0,45;Produtor local;Dinheiro
HF202500076;2025-11-09;2025;11;Hortfruit Pinheiros;Ipiranga;WhatsApp;Mercado;Verdura;Salsinha;maço;28,0;1.0;2.5;0;0,0;70,0;28,0;42,0;0,6;Distribuidor regional;Crédito
HF202500077;2025-02-08;2025;2;Hortfruit Vila Mariana;Tatuapé;Delivery app;Mercado;Fruta;Laranja pera;kg;8,84;3.5;5.5;0;0,0;48,62;30,94;17,68;0,3636;Produtor local;Crédito
HF202500078;2025-09-21;2025;9;Hortfruit Tatuapé;Bela Vista;Delivery app;Restaurante;Legume;Batata inglesa;kg;1,89;4.5;6.5;0;0,0;12,29;8,5;3,79;0,3084;CEAGESP (atacado);Vale-alimentação
HF202500079;2025-12-08;2025;12;Hortfruit Moema;Moema;Delivery app;Mercado;Fruta;  Uva vitória  ;kg;18,33;11.0;16.5;0;0,0;302,44;201,63;100,81;0,3333;CEAGESP (atacado);Pix
HF202500080;2025-07-09;2025;7;Hortfruit Santo Amaro;Pinheiros;Loja física;Restaurante;Fruta;Abacate;kg;3,9;7.5;11.5;0;0,0;44,85;29,25;15,6;0,3478;Cooperativa;Vale-alimentação
HF202500081;2025-03-02;2025;3;Hortfruit Santana;Butantã;WhatsApp;Restaurante;Legume;Abobrinha;kg;13,25;5.0;6.5;0;0,0;86,12;66,25;19,87;0,2307;Cooperativa;Vale-alimentação
HF202500082;2025-03-12;2025;3;Hortfruit Tatuapé;Bela Vista;Retirada;Lanchonete;Legume;Pimentão verde;kg;11,45;4.99;7.99;0;0,0;91,49;57,14;34,35;0,3755;Cooperativa;Pix
HF202500083;2025-12-10;2025;12;Hortfruit Vila Mariana;Butantã;Delivery app;Restaurante;Legume;Abobrinha;kg;2,11;3.5;7.0;0;0,0;14,77;7,38;7,39;0,5003;Produtor local;Crédito
HF202500084;2025-01-07;2025;1;Hortfruit Santana;Ipiranga;Delivery app;PF;Verdura;Couve manteiga;maço;5,0;1.99;3.5;1;0,0;17,5;9,95;7,55;0,4314;Distribuidor regional;Pix
HF202500085;2025-05-26;2025;5;Hortfruit Santana;Vila Mariana;WhatsApp;Lanchonete;Verdura;Cheiro-verde;maço;1,0;2.0;2.5;0;0,0;2,5;2,0;0,5;0,2;Produtor local;Vale-alimentação
HF202500086;2025-09-15;2025;9;Hortfruit Tatuapé;Butantã;Retirada;Padaria;Verdura;Cheiro-verde;maço;22,0;1.5;2.5;0;8,25;55,0;33,0;13,75;0,25;Cooperativa;Pix
HF202500087;2025-08-13;2025;8;Hortfruit Pinheiros;Pinheiros;WhatsApp;Padaria;Verdura;Cheiro-verde;maço;26,0;2.0;2.99;0;0,0;77,74;52,0;25,74;0,3311;CEAGESP (atacado);Pix
HF202500088;2025-09-14;2025;9;Hortfruit Vila Mariana;Pinheiros;WhatsApp;PF;Legume;Abobrinha;kg;13,77;5.99;10.5;0;0,0;144,59;82,48;62,11;0,4296;Produtor local;Débito
HF202500089;2025-11-30;2025;11;Hortfruit Pinheiros;Brooklin;WhatsApp;Padaria;Fruta;Coco verde;un;28,0;5.5;8.0;0;0,0;224,0;154,0;70,0;0,3125;Distribuidor regional;Pix
HF202500090;2025-01-08;2025;1;Hortfruit Santo Amaro;Santana;Feira (parceiro);Padaria;Fruta;Manga palmer;kg;7,95;5.99;8.0;0;0,0;63,6;47,62;15,98;0,2513;Distribuidor regional;Débito
HF202500091;2025-04-24;2025;4;Hortfruit Tatuapé;Brooklin;Feira (parceiro);Mercado;Verdura;Rúcula;maço;5,0;3.5;4.99;0;0,0;24,95;17,5;7,45;0,2986;CEAGESP (atacado);Dinheiro
HF202500092;2025-05-08;2025;5;Hortfruit Pinheiros;Tatuapé;Delivery app;Mercado;Verdura;Rúcula;maço;11,0;2.0;4.5;0;0,0;49,5;22,0;27,5;0,5556;Produtor local;Dinheiro
HF202500093;2025-08-18;2025;8;Hortfruit Santo Amaro;Santo Amaro;Retirada;Restaurante;Verdura;Salsinha;maço;2,0;1.5;2.5;0;0,0;5,0;3,0;2,0;0,4;Distribuidor regional;Débito
HF202500094;2025-08-30;2025;8;Hortfruit Pinheiros;Vila Mariana;Retirada;Padaria;Verdura;Agrião;maço;26,0;3.5;4.0;1;0,0;104,0;91,0;13,0;0,125;Cooperativa;Vale-alimentação
HF202500095;2025-09-13;2025;9;Hortfruit Santo Amaro;Santo Amaro;Loja física;Restaurante;Fruta;Goiaba;kg;5,85;7.5;11.5;0;0,0;67,27;43,88;23,39;0,3477;Cooperativa;Pix
HF202500096;2025-04-01;2025;4;Hortfruit Santo Amaro;Bela Vista;Feira (parceiro);PF;Verdura;Rúcula;maço;29,0;2.5;4.5;0;18,12;130,5;72,5;39,88;0,3056;Distribuidor regional;Pix
HF202500097;2025-05-06;2025;5;Hortfruit Pinheiros;Bela Vista;WhatsApp;Mercado;Fruta;Manga palmer;kg;11,1;6.0;9.5;0;0,0;105,45;66,6;38,85;0,3684;Importadora;Vale-alimentação
HF202500098;2025-12-23;2025;12;Hortfruit Tatuapé;Tatuapé;Loja física;Lanchonete;Fruta;Abacate;kg;14,71;5.0;7.5;1;0,0;110,33;73,55;36,78;0,3334;Importadora;Dinheiro
HF202500099;2025-07-31;2025;7;Hortfruit Santo Amaro;Pinheiros;WhatsApp;Cozinha industrial;Verdura;Cheiro-verde;maço;5,0;2.0;3.5;0;2,5;17,5;10,0;5,0;0,2857;CEAGESP (atacado);Crédito
HF202500100;2025-06-26;2025;6;Hortfruit Santana;Tatuapé;Retirada;PF;Legume;Pimentão verde;kg;4,99;6.99;9.5;0;0,0;47,41;34,88;12,53;0,2643;CEAGESP (atacado);Crédito
HF202500101;2025-07-11;2025;7;Hortfruit Pinheiros;Butantã;WhatsApp;PF;Fruta;Abacate;kg;7,98;4.99;7.99;0;9,96;63,76;39,82;13,98;0,2193;Importadora;Débito
HF202500102;2025-05-13;2025;5;Hortfruit Tatuapé;Moema;Retirada;Mercado;Fruta;Ameixa;kg;19,18;13.5;23.5;0;0,0;450,73;258,93;191,8;0,4255;Produtor local;Débito
HF202500103;2025-09-13;2025;9;Hortfruit Pinheiros;Lapa;Delivery app;Cozinha industrial;Verdura;Couve manteiga;maço;20,0;2.5;4.5;0;0,0;90,0;50,0;40,0;0,4444;Produtor local;Pix
HF202500104;2025-06-18;2025;6;Hortfruit Moema;Brooklin;Feira (parceiro);Lanchonete;Legume;Cebola;kg;6,08;4.5;6.5;0;6,84;39,52;27,36;5,32;0,1346;Produtor local;Vale-alimentação
HF202500105;2025-10-02;2025;10;Hortfruit Tatuapé;Tatuapé;Loja física;Mercado;Fruta;Uva vitória;kg;15,89;11.0;16.0;0;0,0;254,24;174,79;79,45;0,3125;Cooperativa;Vale-alimentação
HF202500106;2025-12-08;2025;12;Hortfruit Tatuapé;Pinheiros;Retirada;Padaria;Verdura;Manjericão;maço;7,0;2.0;4.5;0;0,0;31,5;14,0;17,5;0,5556;Importadora;Débito
HF202500107;2025-10-24;2025;10;Hortfruit Santo Amaro;Moema;WhatsApp;Lanchonete;Verdura;Alface crespa;un;29,0;1.5;2.5;0;0,0;72,5;43,5;29,0;0,4;Cooperativa;Vale-alimentação
HF202500108;2025-09-01;2025;9;Hortfruit Tatuapé;Bela Vista;Retirada;PF;Legume;Chuchu;kg;15,3;2.0;3.5;0;0,0;53,55;30,6;22,95;0,4286;Cooperativa;Crédito
HF202500109;2025-08-15;2025;8;Hortfruit Pinheiros;Brooklin;WhatsApp;PF;Fruta;Morango;bandeja;13,0;7.5;13.0;0;0,0;169,0;97,5;71,5;0,4231;Importadora;Pix
HF202500110;2025-12-10;2025;12;Hortfruit Tatuapé;Santo Amaro;Retirada;PF;Fruta;Abacate;kg;3,19;5.5;7.99;0;0,0;25,49;17,54;7,95;0,3119;Importadora;Débito
HF202500111;2025-01-21;2025;1;Hortfruit Moema;Santana;Retirada;Restaurante;Legume;Brócolis;un;1,0;3.99;6.5;0;0,0;6,5;3,99;2,51;0,3862;Cooperativa;Crédito
HF202500112;2025-02-17;2025;2;Hortfruit Santo Amaro;Lapa;Retirada;Restaurante;Fruta;Laranja pera;kg;11,96;4.0;5.5;0;11,96;65,78;47,84;5,98;0,0909;Cooperativa;Pix
HF202500113;2025-01-13;2025;1;Hortfruit Santo Amaro;Butantã;Delivery app;Lanchonete;Fruta;Mamão papaya;kg;7,75;5.99;8.99;1;0,0;69,67;46,42;23,25;0,3337;Distribuidor regional;Dinheiro
HF202500114;2025-07-07;2025;7;Hortfruit Santo Amaro;Santana;Retirada;Restaurante;Fruta;Morango;bandeja;13,0;7.5;9.99;0;24,38;129,87;97,5;7,99;0,0615;Produtor local;Dinheiro
HF202500115;2025-11-30;2025;11;Hortfruit Pinheiros;Lapa;WhatsApp;Restaurante;Fruta;Mamão formosa;kg;2,64;6.0;9.0;1;0,0;23,76;15,84;7,92;0,3333;CEAGESP (atacado);Vale-alimentação
HF202500116;2025-12-03;2025;12;Hortfruit Moema;Moema;Delivery app;Restaurante;Legume;Pepino japonês;kg;19,25;3.5;6.5;0;0,0;125,12;67,38;57,74;0,4615;Cooperativa;Pix
HF202500117;2025-11-01;2025;11;Hortfruit Pinheiros;Brooklin;Retirada;Cozinha industrial;Legume;Tomate italiano;kg;4,7;4.99;8.5;0;0,0;39,95;23,45;16,5;0,413;CEAGESP (atacado);Vale-alimentação
HF202500118;2025-06-19;2025;6;Hortfruit Santo Amaro;Bela Vista;WhatsApp;PF;Verdura;Couve manteiga;maço;29,0;1.99;0.64;1;0,0;101,5;57,71;43,79;0,4314;Cooperativa;Débito
HF202500119;2025-08-19;2025;8;Hortfruit Pinheiros;Pinheiros;WhatsApp;PF;Fruta;Melão amarelo;kg;5,28;3.99;5.99;0;0,0;31,63;21,07;10,56;0,3339;Produtor local;Crédito
HF202500120;2025-08-01;2025;8;Hortfruit Pinheiros;Brooklin;Loja física;Restaurante;Fruta;Coco verde;un;-14,0;5.5;8.99;0;19,25;125,86;77,0;29,61;0,2353;Produtor local;Débito
HF202500121;2025-07-14;2025;7;Hortfruit Vila Mariana;Brooklin;WhatsApp;Restaurante;Verdura;Coentro;maço;3,0;2.0;3.99;0;0,0;11,97;6,0;5,97;0,4987;Distribuidor regional;Vale-alimentação
HF202500122;2025-01-12;2025;1;Hortfruit Tatuapé;Pinheiros;Loja física;Padaria;Verdura;Rúcula;maço;16,0;2.5;4.0;0;10,0;64,0;40,0;14,0;0,2188;Produtor local;Crédito
HF202500123;2025-03-20;2025;3;Hortfruit Moema;Butantã;Loja física;Restaurante;Legume;Abobrinha;kg;5,76;4.5;5.5;1;0,0;31,68;25,92;5,76;0,1818;Cooperativa;Crédito
